Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
Dysfunktional Family,"This live concert film features comedian Eddie Griffin performing his stand-up act. The central theme of the concert is family and how Griffin's difficult yet loving clan helped him become a star. Griffin introduces his family via anecdotes and documentary footage, relating infamous tales, including how his mother once chased him down with her car, how an uncle's drug abuse almost destroyed him and the pride another uncle took in his prodigious pornography collection.",Eng,83,George Gallo,"Eddie Griffin, David Permut, Paul Brooks",Eddie Griffin,"['Eddie Griffin', 'Self', 'George Gallo', 'Director', 'Eddie Griffin', 'Producer', 'David Permut', 'Producer', 'Paul Brooks', 'Producer', 'Eddie Griffin', 'Writer']",Miramax Films,Gold Circle Films,2200000.0,0.43,0.77,63,Documentary,"Apr 4, 2003  Wide","Apr 14, 2016",https://www.rottentomatoes.com/m/dysfunktional_family,Documentary
Janes Journey 2010,"Dr. Jane Goodall is a well-known anthropologist famous for her work with primates in Africa. This film follows her travels through the world speaking about her conservationism and scientific research, most notably her four-and-a-half-decadelong study of African chimpanzees. Although well into her 70s at the time of this film, Goodall is sprightly, energetic and a seemingly endless font of knowledge about her subject in particular and conservationism in general.",Eng,106,Lorenz Knauer,"Philipp Schall, Philipp Wundt, Michael Halberstadt",Lorenz Knauer,"['Jane Goodall', 'Self', 'Angelina Jolie', 'Self', 'Pierce Brosnan', 'Self', 'Kofi Annan', 'Self', 'Lorenz Knauer', 'Director', 'Lorenz Knauer', 'Writer']",First Run,"Animal Planet, NEOS Film, Sphinx Productions",26100.0,0.42,0.79,12,Documentary,"Sep 16, 2011  Limited","Apr 6, 2017",https://www.rottentomatoes.com/m/janes_journey_2010,Documentary
Waiting For Lightning 2012,"Danny Way rises from broken-home survivor to fame as a professional skateboarder and, in 2005, attempts to jump over the Great Wall of China.",Eng,96,Jacob Rosenberg,"Jacob Rosenberg, Hana Ripperger-Suhler",Bret Anthony Johnston,"['Danny Way', 'Rob Dyrdek', 'Travis Pastrana', 'Laird Hamilton', 'Tony Hawk', 'Ken Block']",Samuel Goldwyn Company,Bandito Brothers,19500.0,0.45,0.73,22,Documentary,"Dec 7, 2012  Limited","May 23, 2016",https://www.rottentomatoes.com/m/waiting_for_lightning_2012,Documentary
Four Daughters 2023,"This riveting exploration of rebellion, memory, and sisterhood reconstructs the story of Olfa Hamrouni and her four daughters, unpacking a complex family history through intimate interviews and performance to examine how the Tunisian woman's two eldest were radicalized by Islamic extremists. Casting professional actresses as the missing daughters, along with acclaimed Egyptian-Tunisian actress Hend Sabri as Olfa, award-winning director Kaouther Ben Hania (The Man Who Sold His Skin) restages pivotal moments in the family's life. These scenes are interwoven with confessions and reflections from Olfa and her younger daughters, offering the women agency to tell their own story and capturing moments of joy, loss, violence, and heartache. Winner of four prizes including L'Oeil d'Or (Best Documentary) when it screened in competition at the Cannes Film Festival, Four Daughters is a compelling portrait of five women and a unique and ambitious work of nonfiction cinema that explores the nature of memory, the weight of inherited trauma, and the ties that bind mothers and daughters.",Ara,107,Kaouther Ben Hania,Nadim Cheikhrouha,Kaouther Ben Hania,"['Hend Sabry', 'Olfa', 'Olfa Hamrouni', 'Self', 'Eya Chikahoui', 'Self', 'Tayssir Chikhaoui', 'Self', 'Nour Karoui', 'Ichrak Matar']",Kino Lorber,"Twenty Twenty Vision Filmproduktion, Cinétéléfilms, Tanit Films",74300.0,0.97,0.87,60,Documentary,"Oct 27, 2023  Limited","Dec 19, 2023",https://www.rottentomatoes.com/m/four_daughters_2023,"Documentary, Drama"
They Shall Not Grow Old,"Using state-of-the-art technology and materials from the BBC and Imperial War Museum, filmmaker Peter Jackson allows the story of World War I to be told by the men who were there. Life on the front is explored through the voices of the soldiers, who discuss their feelings about the conflict, the food they ate, the friends they made and their dreams of the future.",Eng,99,Peter Jackson,"Peter Jackson, Clare Olssen","Peter Jackson, Clare Olssen","['Peter Jackson', 'Peter Jackson', 'Director', 'Peter Jackson', 'Writer', 'Clare Olssen', 'Writer', 'Tessa Ross', 'Executive Producer', 'Ken Kamins', 'Executive Producer']",Warner Bros. Pictures,"WingNut Films, House Productions",18000000.0,0.99,0.91,156,Documentary,"Feb 1, 2019  Wide","Mar 12, 2019",https://www.rottentomatoes.com/m/they_shall_not_grow_old,"Documentary, History, Drama, War"
Taxi To The Dark Side,"This documentary explores the American military's use of torture by focusing on the unsolved murder of an Afhgani taxi driver who, in 2002, was taken for questioning at Bagram Force Air Base. Five days later, the man was dead. The medical examiner claimed the driver died from excessive physical abuse. Taking this case as a jumping-off point, the film examines wider claims of torture that occurred at bases like Abu Ghraib and Guantanamo Bay during the Bush administration.",Eng,106,Alex Gibney,"Eva Orner, Susannah Shipman, Alex Gibney",Alex Gibney,"['Alex Gibney', 'Narrator', 'Brian Keith Allen', 'Jack Cloonan', ""Greg D'Agostino"", 'Carl Levin', 'Moazzam Begg']",ThinkFilm,"Wider Film Projects, Discovery Channel, Tall Woods, Jigsaw Productions, X-Ray Productions",274700.0,1.0,0.9,93,Documentary,"Jan 18, 2008  Limited","Oct 21, 2019",https://www.rottentomatoes.com/m/taxi_to_the_dark_side,"Documentary, Crime, Drama, War"
Inside Job 2010,The global financial meltdown that took place in Fall 2008 caused millions of job and home losses and plunged the United States into a deep economic recession. Matt Damon narrates a documentary that provides a detailed examination of the elements that led to the collapse and identifies keys financial and political players. Director Charles Ferguson conducts a wide range of interviews and traces the story from the United States to China to Iceland to several other global financial hot spots.,Eng,108,Charles Ferguson,"Charles Ferguson, Audrey Marrs",Charles Ferguson,"['Matt Damon', 'Narrator', 'Gylfi Zoega', 'Self', 'Andri Snær Magnason', 'Self', 'Sigridur Benediktsdottir', 'Self', 'Paul Volcker', 'Self', 'Dominique Strauss-Kahn', 'Self']",Sony Pictures Classics,Sony Pictures Classics,4300000.0,0.98,0.91,148,Documentary,"Oct 8, 2010  Limited","Apr 16, 2012",https://www.rottentomatoes.com/m/inside_job_2010,Documentary
1122382-Spellbound,"Eight youthful competitors, sponsored by their hometown newspapers, travel with their families to Washington, D.C., to compete in the 1999 Scripps National Spelling Bee. Now in the national spotlight and under heavy pressure to perform from parents, teachers and their audience, the children struggle to advance toward the championship -- and its accompanying scholarships and cash prizes -- while approaching competitive spelling with the focus and intensity of Olympic athletes.",Eng,97,Jeffrey Blitz,"Jeffrey Blitz, Sean Welch",Jeffrey Blitz,"['Paige Kimble', 'Self', 'Jonathan Knisely', 'Self', 'Balu Natarajan', 'Self', 'Julianne Ruth', 'Self', 'Jeffrey Blitz', 'Director', 'Jeffrey Blitz', 'Writer']",ThinkFilm,Blitz/Welch,5700000.0,0.97,0.83,139,Documentary,"Apr 30, 2003  Original","Dec 13, 2018",https://www.rottentomatoes.com/m/1122382-spellbound,Documentary
The Biggest Little Farm,A couple are followed through their successes and failures as they work to develop a sustainable farm on 200 acres outside of Los Angeles.,Eng,91,John Chester,"John Chester, Sandra Keats","John Chester, Mark Monroe","['John Chester', 'Self', 'Molly Chester', 'Self', 'Matthew Pilachowski', 'Singing Wedding Guest', 'Lydia Marie Hicks', 'Volunteer Farmer', 'John Chester', 'Director', 'John Chester', 'Writer']","Neon, LD Entertainment",Diamond Docs,4400000.0,0.91,0.95,101,Documentary,"May 10, 2019  Limited","Aug 20, 2019",https://www.rottentomatoes.com/m/the_biggest_little_farm,Documentary
Deliver Us From Evil,"Filmmaker Amy Berg documents the case of convicted pedophile Oliver Grady who, as a priest in northern California, molested the children of his parishioners, apparently with the knowledge of his superiors in the diocese. Berg tracks down O'Grady in Ireland, where he lives free under church protection, and allows him to give his own account of his crimes.",Eng,103,Amy Berg,"Amy Berg, Hermas Lassalle, Frank Donner",Amy Berg,"['Nancy Sloan', 'Roger Mahony', 'John Manly', 'Amy Berg', 'Director', 'Amy Berg', 'Writer', 'Ray Baldwin', 'Executive Producer']",Lionsgate Films,Disarming Films,196600.0,1.0,0.89,72,Documentary,"Oct 13, 2006  Limited","Dec 1, 2008",https://www.rottentomatoes.com/m/deliver_us_from_evil,"Documentary, Crime, Drama"
Invisible Beauty,"An essential memoir of fashion pioneer Bethann Hardison, INVISIBLE BEAUTY shines a spotlight on the singular and unapologetic Hardison, one of the fashion industry's most influential icons who, as a pioneering Black model, modeling agent and entrepreneur, has pushed the boundaries of fashion culture and has been at the forefront of progress throughout her career. In her lifetime, Hardison has seen the pendulum swing toward and away from the Black model. At every setback, she spoke up and rallied her colleagues and clients in the industry to advance change. Now in her 70s, the Brooklyn native is writing her memoir, taking stock of her own legacy at a moment when the fashion industry was shaken by discrimination. In INVISIBLE BEAUTY, Frédéric Tcheng and Hardison trace her impact on fashion from runway shows in the 1970s to roundtables about the lack of racial diversity in the early 2000s. Featuring intimate interviews with luminaries including Iman, Tyson Beckford, Tracee Ellis Ross, Zendaya, Fran Lebowitz, Pat Cleveland, Naomi Campbell, and Stephen Burrows, INVISIBLE BEAUTY is an absorbing record of the racial evolution of fashion and an original contemplation on the life of an unparalleled trailblazer.",Eng,114,"Bethann Hardison, Frédéric Tcheng",Lisa Cortes,"Bethann Hardison, Frédéric Tcheng","['Bethann Hardison', 'Self', 'Iman', 'Self', 'Tyson Beckford', 'Self', 'Tracee Ellis Ross', 'Self', 'Zendaya', 'Self', 'Fran Lebowitz', 'Self']",Magnolia Pictures,"Vogue Studios, Cortés Filmworks, Lane B Productions, Ford Foundation - Just Films, Whitewater Films",91800.0,1.0,0.87,21,Documentary,"Sep 15, 2023  Limited","Oct 31, 2023",https://www.rottentomatoes.com/m/invisible_beauty,Documentary
Fantastic Fungi,"The magical world of fungi and their power to heal, sustain and contribute to the regeneration of life on Earth.",Eng,81,Louie Schwartzberg,"Lyn Davis Lear, Louie Schwartzberg, Elease Lui Stemp",Mark Monroe,"['Brie Larson', 'Narrator', 'Tony D. Head', 'Self', 'Louie Schwartzberg', 'Director', 'Mark Monroe', 'Writer', 'Lyn Davis Lear', 'Producer', 'Louie Schwartzberg', 'Producer']",Self Distributed,"Moving Art Studio, Reconsider",933400.0,1.0,0.94,23,Documentary,"Oct 11, 2019  Limited","Aug 7, 2020",https://www.rottentomatoes.com/m/fantastic_fungi,Documentary
Moonage Daydream,"MOONAGE DAYDREAM: a cinematic odyssey exploring Bowie's creative, spiritual and musical journey. From the visionary mind of Brett Morgen, Moonage Daydream features captivating, never-before-seen footage and performances spanning David Bowie's 54-year career. The film includes 40 exclusively remastered Bowie songs and is the first film ever sanctioned by the Bowie Estate, with local access to the artists' archives.",Eng,134,Brett Morgen,Brett Morgen,Brett Morgen,"['Brett Morgen', 'Director', 'Brett Morgen', 'Writer', 'Brett Morgen', 'Producer', 'Hartwig Masuch', 'Executive Producer', 'Kathy Rivkin Daum', 'Executive Producer', 'Justus Haerder', 'Executive Producer']",Neon,"Public Road Prods., BMG, Live Nation Productions",4300000.0,0.92,0.75,164,Documentary,"Sep 23, 2022  Wide","Apr 29, 2023",https://www.rottentomatoes.com/m/moonage_daydream,"Documentary, Music"
Raise Hell The Life And Times Of Molly Ivins,"The life and work of Molly Ivins, a political journalist from Texas, best-selling author, and Bill of Rights warrior.",Eng,93,Janice Engel,"James Egan, Janice Engel, Carlisle Vandervoort",Janice Engel,"['Rachel Maddow', 'Self', 'Dan Rather', 'Self', 'Anne Lamott', 'Self', 'Cecile Richards', 'Self', 'Paul Krugman', 'Self', 'Janice Engel', 'Director']",Magnolia Pictures,"Magnolia Pictures, Gunslinger Productions, Wild at Heart Films, Two Rivers Productions, Mongrel Media",693700.0,0.95,1.0,58,Documentary,"Aug 30, 2019  Limited","Aug 30, 2019",https://www.rottentomatoes.com/m/raise_hell_the_life_and_times_of_molly_ivins,Documentary
Searching For Sugar Man,"Though he faded into obscurity in the U.S., an early '70s musician known as Rodriguez became a huge hit in South Africa and was widely rumored to have died. Two obsessed fans set out to learn the man's true fate.",Eng,86,Malik Bendjelloul,"George Chignell, Simon Chinn, Nicole Stott",Malik Bendjelloul,"[""Stephen 'Sugar' Segerman"", 'Dennis Coffey', 'Mike Theodore', 'Dan DiMaggio', 'Jerome Ferretti', 'Steve Rowland']",Sony Pictures Classics,"Red Box Films, Passion Pictures",3700000.0,0.95,0.92,133,Documentary,"Jul 27, 2012  Limited","Oct 1, 2014",https://www.rottentomatoes.com/m/searching_for_sugar_man,Documentary
The Salt Of The Earth,"Juliano Ribeiro Salgado co-directs a look at the career of his father, photographer Sebastião Salgado.",Por,109,"Wim Wenders, Juliano Ribeiro Salgado",David Rosier,"Juliano Ribeiro Salgado, Wim Wenders, David Rosier","['Sebastião Salgado', 'Self', 'Wim Wenders', 'Narrator', 'Juliano Ribeiro Salgado', 'Narrator', 'Hugo Barbier', 'Self', 'Jacques Barthélémy', 'Self', 'Lélia Wanick Salgado', 'Self']",Sony Pictures Classics,"Decia Films, Solares Fondazione delle Arti, Amazonas Images",1100000.0,0.94,0.9,96,Documentary,"Mar 27, 2015  Limited","Aug 10, 2016",https://www.rottentomatoes.com/m/the_salt_of_the_earth,Documentary
Waltz With Bashir,"Israeli filmmaker Ari Folman wrote, directed and stars in this autobiographical animated film. As a 19-year-old infantry soldier in the 1982 war with Lebanon, Folman witnessed the Sabra and Shatila massacre, but realizes that he has no memory of the event. In 2006, he seeks out others who were in Beirut at the time to discuss their memories, including a psychologist specializing in post-traumatic stress disorders and the first journalist to cover the massacre.",Heb,90,Ari Folman,"Ari Folman, Serge Lalou, Gerhard Meixner, Roman Paul",Ari Folman,"['Ron Ben-Yishai', 'Self', 'Ronny Dayag', 'Self', 'Ari Folman', 'Self', 'Dror Harazi', 'Self', 'Yehezkel Lazarov', ""Carmi Cna'an Voice"", 'Mickey Leon', 'Boaz Rein-Buskila Voice']",Sony Pictures Classics,"Télévision Suisse-Romande (TSR), Arte France, Radio Télévision Belge Francophone (RTBF), Razor Film Produktion GmbH, SBS, Les Films d'ici, Medienboard Berlin-Brandenburg, Israel Film Fund",2300000.0,0.97,0.91,155,Documentary,"Dec 25, 2008  Limited","Apr 16, 2012",https://www.rottentomatoes.com/m/waltz_with_bashir,"Documentary, Animation"
Science Fair,"Filmmakers follow nine high school students from around the globe as they compete at an international science fair. Facing off against 1,700 of the smartest teens from 78 countries, only one will be named Best in Fair.",Eng,90,"Cristina Costantini, Darren Foster","Cristina Costantini, Darren Foster, Jeff Plunkett","Jeff Plunkett, Darren Foster, Cristina Costantini","['Jack Andraka', 'Self', 'Anjali Chadha', 'Self', 'Ryan Folz', 'Self', 'Harsha Paladugu', 'Self', 'Abraham Riedel-Mishaan', 'Self', 'Kashfia Rahman', 'Self']",National Geographic Documentary Films,"Muck Media, Fusion",272000.0,0.97,0.86,76,Documentary,"Sep 14, 2018  Limited","Nov 20, 2018",https://www.rottentomatoes.com/m/science_fair,Documentary
Samsara 2012,"Filmmaker Ron Fricke creates a global travelogue with pictures and music, exploring the Himalayas, the American Southwest, European cathedrals, and other beautiful sites.",Eng,102,Ron Fricke,Mark Magidson,"Ron Fricke, Mark Magidson","['Balinese Tari Legong Dancers', 'Hiroshi Ishiguro', 'Ron Fricke', 'Director', 'Ron Fricke', 'Writer', 'Mark Magidson', 'Writer', 'Mark Magidson', 'Producer']",Oscilloscope Pictures,"Panorama Films, Magidson Films, Bali Film Center, Bullet Productions, Bang Singapore, Moonlighting Films",1800000.0,0.76,0.87,79,Documentary,"Aug 24, 2012  Limited","May 1, 2017",https://www.rottentomatoes.com/m/samsara_2012,"Documentary, Music"
Fahrenheit 911,"Michael Moore's political documentary uses humor and connect-the-dots investigative journalism to question the Bush administration's motives for wars in Iraq and Afghanistan. The film argues that President George W. Bush and his inner circle used the media to further an agenda that exploited the 9/11 attacks. The close ties of the Saudis to the Bush family, the cynical profiteering of corporations and a political elite beholden to special interests are all cited as elements of a corrupt system.",Eng,121,Michael Moore,Michael Moore,Michael Moore,"['Michael Moore', 'Narrator', 'Ben Affleck', 'Self', 'Stevie Wonder', 'Self', 'George W. Bush', 'Self', 'James Baker', 'Self', 'Tom Daschle', 'Self']","Fellowship Adventure Group, Lionsgate Films, IFC Films","Miramax Films, Dog Eat Dog Films",119100000.0,0.82,0.7,236,Documentary,"Jun 23, 2004  Wide","Feb 25, 2020",https://www.rottentomatoes.com/m/fahrenheit_911,Documentary
The Tillman Story,"The family of professional football player turned soldier Pat Tillman sets out to explore and uncover the real story behind their son's death in April 2004 when he was serving in Afghanistan. Tillman, killed not by the Taliban as had first been reported, but instead by friendly fire, left a million-dollar career to serve the United States. But, while searching for the truth, his family uncovers more than the real story -- they expose a shocking propagandistic military cover-up.",Eng,94,Amir Bar-Lev,John Battsek,"Amir Bar-Lev, Joe Bini, Mark Monroe","['Josh Brolin', 'Narrator', 'Amir Bar-Lev', 'Director', 'Amir Bar-Lev', 'Writer', 'Joe Bini', 'Writer', 'Mark Monroe', 'Writer', 'John Battsek', 'Producer']",Weinstein Co.,"Prettybird, Diamond Docs, Passion Pictures, A&E IndieFilms",798900.0,0.94,0.91,88,Documentary,"Aug 20, 2010  Limited","May 7, 2013",https://www.rottentomatoes.com/m/the_tillman_story,Documentary
Bowling For Columbine,"Political documentary filmmaker Michael Moore explores the circumstances that lead to the 1999 Columbine High School massacre and, more broadly, the proliferation of guns and the high homicide rate in America. In his trademark provocative fashion, Moore accosts Kmart corporate employees and pleads with them to stop selling bullets, investigates why Canada doesn't have the same excessive rate of gun violence and questions actor Charlton Heston on his support of the National Rifle Association.",Eng,120,Michael Moore,"Charles Bishop, Jim Czarnecki, Michael Donovan, Kathleen Glynn, Michael Moore",Michael Moore,"['Michael Moore', 'Self', 'George W. Bush', 'Self', 'Dick Clark', 'Self', 'Charlton Heston', 'Self', 'Marilyn Manson', 'Self', 'Matt Stone', 'Self']",United Artists,"Dog Eat Dog Films, United Broadcasting Inc., Salter Street Films International",21200000.0,0.95,0.83,173,Documentary,"Oct 11, 2002  Original","Jan 17, 2017",https://www.rottentomatoes.com/m/bowling_for_columbine,Documentary
Enron The Smartest Guys In The Room,"This documentary explores the fall of the Enron Corporation, arguably the most shocking example of modern corporate corruption. The company is linked with several illegal schemes, including instigating the California energy crisis as a way to drive up utility prices at the expense of the average American. In a hyper-competitive environment, Enron traders resort to all kinds of underhanded dealings in order to make money at any cost and keep their high-paying jobs.",Eng,113,Alex Gibney,"Alex Gibney, Jason Kliot, Susan Motamed",Alex Gibney,"['Peter Coyote', 'Narrator', 'Alex Gibney', 'Director', 'Mark Cuban', 'Executive Producer', 'Todd Wagner', 'Executive Producer', 'Joana Vicente', 'Executive Producer', 'Alex Gibney', 'Producer']",Magnolia Pictures,HDNet,4099999.9999999995,0.97,0.87,119,Documentary,"Apr 22, 2005  Original","Mar 31, 2015",https://www.rottentomatoes.com/m/enron_the_smartest_guys_in_the_room,Documentary
