,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
3878,Man From Snowy River,"After the death of his father, proud young Jim Craig (Tom Burlinson) sets out to become his own man. Taking a job with horse rancher Harrison (Kirk Douglas), Craig is treated poorly by the more experienced cowboys, but wins the heart of the rancher's daughter, Jessica (Sigrid Thornton), when he helps her break a high-strung colt and later saves her life. When he's unfairly blamed for the loss of an expensive horse, Craig fights to restore his honor and prove that he's worthy of Jessica's hand.", English, 1h 42m, George Miller," John Dixon, Fred Cullen","['Kirk Douglas', 'Harrison, Spur', 'Tom Burlinson', 'Jim Craig', 'Sigrid Thornton', 'Jessica Harrison', 'Jack Thompson', 'Clancy', 'Lorraine Bayly', 'Rosemary Hume', 'Tommy Dysart', 'Mountain Man']",85%,89%,13, Western,https://www.rottentomatoes.com/m/man_from_snowy_river
3879,Missouri Breaks,"When vigilante land baron David Braxton (John McLiam) hangs one of the best friends of cattle rustler Tom Logan (Jack Nicholson), Logan's gang decides to get even by purchasing a small farm next to Braxton's ranch. From there the rustlers begin stealing horses, using the farm as a front for their operation. Determined to stop the thefts at any cost, Braxton retains the services of eccentric sharpshooter Robert E. Lee Clayton (Marlon Brando), who begins ruthlessly taking down Logan's gang.", English, 2h 5m, Arthur Penn, Thomas McGuane,"['Marlon Brando', 'Lee Clayton', 'Jack Nicholson', 'Tom Logan', 'Randy Quaid', 'Little Tod', 'Kathleen Lloyd', 'Jane Braxton', 'Frederic Forrest', 'Cary', 'Harry Dean Stanton', 'Calvin']",79%,60%,28," Western, Drama",https://www.rottentomatoes.com/m/missouri_breaks
3880,The Keeping Room,"During the waning days of the Civil War, two Southern sisters (Brit Marling, Hailee Steinfeld) and a slave (Muna Otaru) must defend themselves against two Union Army soldiers.", English, 1h 35m, Daniel Barber, Julia Hart,"['Brit Marling', 'Augusta', 'Hailee Steinfeld', 'Louise', 'Muna Otaru', 'Mad', 'Sam Worthington', 'Moses', 'Kyle Soller', 'Henry', 'Nicholas Pinnock', 'Bill']",75%,52%,88," Western, Mystery & thriller, History, Drama",https://www.rottentomatoes.com/m/the_keeping_room
3881,The Scent Of Rain And Lightning,"When a young woman learns her parents' killer has been released from jail, she is forced to revisit old wounds while discovering the destructive power of hate and the true cost of family secrets fully revealing themselves.", English, 1h 40m, Blake Robbins," Jeff Robison, Casey Twenter","['Maggie Grace', 'Laurie', 'Maika Monroe', 'Jody Linder', 'Justin Chatwin', 'Hugh Jay Linder', 'Mark Webber', 'Chase', 'Bonnie Bedelia', 'Annabelle', 'Logan Miller', 'Collin Croyle']",100%,83%,8," Mystery & thriller, Western",https://www.rottentomatoes.com/m/the_scent_of_rain_and_lightning
3882,Red River,"Headstrong Thomas Dunson (John Wayne) starts a thriving Texas cattle ranch with the help of his faithful trail hand, Groot (Walter Brennan), and his protégé, Matt Garth (Montgomery Clift), an orphan Dunson took under his wing when Matt was a boy. In need of money following the Civil War, Dunson and Matt lead a cattle drive to Missouri, where they will get a better price than locally, but the crotchety older man and his willful young partner begin to butt heads on the exhausting journey.", English, 2h 13m, Howard Hawks," Borden Chase, Charles Schnee","['John Wayne', 'Thomas Dunson', 'Montgomery Clift', 'Matt Garth', 'Walter Brennan', 'Groot Nadine', 'Joanne Dru', 'Tess Millay', 'Coleen Gray', 'Fen', 'John Ireland', 'Cherry Valance']",100%,87%,34, Western,https://www.rottentomatoes.com/m/red_river
3883,1000123-310 To Yuma,"Dan Evans (Van Heflin), a drought-plagued Arizona rancher, volunteers to take captured stagecoach robber and murderer Ben Wade (Glenn Ford) from Bisbee to Contention City, where the criminal will be put aboard the 3:10 train to Yuma for his trial. Accompanied only by the town drunk, Alex Potter (Henry Jones), Dan battles Wade's henchman (Richard Jaeckel), the murder victim's revenge-minded brother, and the temptation of the large bribe Wade offers in exchange for his freedom.", English, 1h 32m, Delmer Daves," Elmore Leonard, Halsted Welles","['Van Heflin', 'Dan Evans', 'Glenn Ford', 'Ben Wade', 'Felicia Farr', 'Emmy', 'Leora Dana', 'Mrs. Alice Evans', 'Henry Jones', 'Alex Potter, town drunk', 'Richard Jaeckel', 'Charlie Prince']",94%,79%,31, Western,https://www.rottentomatoes.com/m/1000123-310_to_yuma
3884,Duck You Sucker,"At the beginning of the Mexican Revolution in 1913, greedy bandit Juan Miranda (Rod Steiger) and idealist John H. Mallory (James Coburn), an Irish Republican Army explosives expert on the lam from the British, fall in with a band of revolutionaries plotting to strike a national bank. When it turns out that the government has been using the bank as a hiding place for illegally detained political prisoners -- who are freed by the blast -- Miranda becomes a revolutionary hero against his will.", English, 2h 19m, Sergio Leone," Luciano Vincenzoni, Sergio Donati, Sergio Leone","['Rod Steiger', 'Juan Miranda', 'James Coburn', 'John H. Mallory', 'Romolo Valli', 'Dr. Villega', 'Maria Monti', 'Adelita', 'Rik Battaglia', 'Santerna', 'Franco Graziosi', 'Governor Jaime']",92%,83%,24, Western,https://www.rottentomatoes.com/m/duck_you_sucker
3885,They Died With Their Boots On,"George Armstrong Custer (Errol Flynn) is a rebellious but ambitious soldier, eager to join the Civil War. During the war, Custer has numerous successes to his credit, even though he disobeys orders. After the war concludes, he marries Libby Bacon (Olivia de Havilland) and is assigned to the Dakota Territory. Custer negotiates honestly with the Sioux on land, but due to corruption from others, a battle with Sitting Bull's forces occurs at Little Big Horn.", English, 2h 18m, Raoul Walsh," Wally Kline, Æneas MacKenzie","['Errol Flynn', 'George Armstrong Custer', 'Olivia de Havilland', 'Elizabeth Bacon', 'Arthur Kennedy', 'Ned Sharp', 'Charley Grapewin', 'California Joe', 'Gene Lockhart', 'Samuel Bacon', 'Anthony Quinn', 'Crazy Horse']",82%,74%,11, Western,https://www.rottentomatoes.com/m/they_died_with_their_boots_on
3886,How The West Was Won,"Setting off on a journey to the west in the 1830s, the Prescott family run into a man named Linus (James Stewart), who helps them fight off a pack of thieves. Linus then marries daughter Eve Prescott (Carroll Baker), and 30 years later goes off to fight in the Civil War with their son, with bloody results. Eve's sister, Lily (Debbie Reynolds), heads further west and has adventures with a professional gambler (Gregory Peck), stretching all the way to San Francisco and into the 1880s.", English, 2h 44m," John Ford, Henry Hathaway, George Marshall, Richard Thorpe"," John Gay, James R. Webb","['Carroll Baker', 'Eve Prescott', 'Lee J. Cobb', 'Marshal Lou Ramsey', 'Henry Fonda', 'Jethro Stuart', 'Carolyn Jones', 'Julie Rawlings', 'Spencer Tracy', 'Narrator', 'Karl Malden', 'Zebulon Prescott']",87%,74%,23, Western,https://www.rottentomatoes.com/m/how_the_west_was_won
3887,Day Of The Outlaw,"In the quiet frontier town of Bitters, Wyo., a dispute between cattleman Blaise Starrett (Robert Ryan) and farmer Hal Crane (Alan Marshal) is about to boil over into a bloody feud. But the fighting takes a back seat to a new threat when a rogue cavalry captain, Jack Bruhn (Burl Ives), rides into town with his band of thugs. Now, with the citizens of Bitters held hostage by Bruhn and his men, Starrett must somehow rescue his town and restore his broken reputation.", English, 1h 31m, Andre de Toth, Philip Yordan,"['Robert Ryan', 'Blaise Starrett', 'Burl Ives', 'Jack Bruhn', 'Tina Louise', 'Helen Crane', 'Alan Marshal', 'Hal Crane', 'Nehemiah Persoff', 'Dan', 'Venetia Stevenson', 'Ernine']",100%,71%,6, Western,https://www.rottentomatoes.com/m/day_of_the_outlaw
3888,El Topo,A black-clad gunfighter (Alejandro Jodorowsky) embarks on a symbolic quest in an Old West version of Sodom and Gomorrah., Spanish, 2h 3m, Alejandro Jodorowsky, Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'El Topo', 'Mara Lorenzio', 'La mujer', 'Jacqueline Luis', 'Mujercita', 'Brontis Jodorowsky', 'Hijo', 'José Legarreta', 'Moribundo', 'Alfonso Arau', 'Bandido 1']",80%,84%,46, Western,https://www.rottentomatoes.com/m/el_topo
3889,Shootist,"J.B. Books (John Wayne, in his final film role) is an aging gunfighter diagnosed with cancer who comes to Nevada at the turn of the 20th century. Renting a room from widowed Bond Rogers (Lauren Bacall) and her son Gillom (Ron Howard), Books is confronted by several people of questionable motives, including a man seeking to avenge his brother's death and a few who are looking to profit from Books' notoriety. Not wanting to die a quiet, painful death, Books devises a plan to go out with a bang.", English, 1h 39m, Don Siegel," Glendon Swarthout, Scott Hale, Miles Hood Swarthout","['John Wayne', 'John Bernard Books', 'Lauren Bacall', 'Bond Rogers', 'James Stewart', 'Dr. E.W. Hostetler', 'Ron Howard', 'Gillom Rogers', 'Richard Boone', 'Mike Sweeney', ""Hugh O'Brian"", 'Jack Pulford (faro dealer at Metropole Saloon)']",83%,88%,24, Western,https://www.rottentomatoes.com/m/shootist
3890,Gunfight At The Ok Corral,"Lawman Wyatt Earp (Burt Lancaster) and gunfighter John ""Doc"" Holliday (Kirk Douglas) find themselves together again in Tombstone, Ariz., despite the tumultuous history between them. Earp comes to Arizona on a mission to bring the Clayton clan to justice. Meanwhile, Holliday becomes incensed with the decision of Kate Fisher (Jo Van Fleet) to turn him down in favor of another gunfighter (John Ireland), ultimately leading Holliday to join Earp's side in a confrontation with the Claytons.", English, 2h 2m, John Sturges," George Scullin, Leon Uris","['Burt Lancaster', 'Wyatt Earp', 'Kirk Douglas', 'Dr. John ""Doc"" Holliday', 'Rhonda Fleming', 'Laura Denbow', 'Jo Van Fleet', 'Kate Fisher', 'John Ireland', 'Johnny Ringo', 'Lee Van Cleef', 'Ed Bailey']",85%,69%,13, Western,https://www.rottentomatoes.com/m/gunfight_at_the_ok_corral
3891,Johnny Guitar,"On the outskirts of town, the hard-nosed Vienna (Joan Crawford) owns a saloon frequented by the undesirables of the region, including Dancin' Kid (Scott Brady) and his gang. Another patron of Vienna's establishment is Johnny Guitar (Sterling Hayden), a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small (Mercedes McCambridge), Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon -- even without proof of her wrongdoing.", English, 1h 50m, Nicholas Ray," Roy Chanslor, Philip Yordan","['Joan Crawford', 'Vienna', 'Sterling Hayden', 'Johnny ""Guitar"" Logan', 'Mercedes McCambridge', 'Emma Small', 'Scott Brady', ""Dancin' Kid"", 'Ward Bond', 'John McIvers', 'Ben Cooper', 'Turkey Ralston']",94%,85%,50, Western,https://www.rottentomatoes.com/m/johnny_guitar
3892,Professionals,"Four soldiers of fortune are hired by a wealthy rancher to rescue his beautiful young wife who has been kidnapped by a villainous Mexican bandit. When they finally find her, after fighting their way across deserts and mountains, they discover she is not being held against her will. This causes friction within the band as to whether they should honor their agreement.", English, 1h 57m, Richard Brooks," Richard Brooks, Frank O'Rourke","['Lee Marvin', 'Henry ""Rico"" Fardan', 'Burt Lancaster', 'Bill Dolworth', 'Claudia Cardinale', 'Mrs. Maria Grant', 'Robert Ryan', 'Hans Ehrengard', 'Woody Strode', 'Jake Sharp', 'Jack Palance', 'Jesus Raza']",89%,81%,19, Western,https://www.rottentomatoes.com/m/professionals
3893,Big Jake,"The avenging head of the McCandle clan returns to his estranged family and leads the search for his kidnapped grandson. Big Jake sets off, his sons in tow, to deliver the ransom to the kidnappers, but has little intention of handing it over without a fight.", English, 1h 50m, George Sherman," Harry Julian Fink, Rita M. Fink","['John Wayne', 'Jacob McCandles', 'Richard Boone', 'John Fain', ""Maureen O'Hara"", 'Martha McCandles', 'Patrick Wayne', 'James McCandles', 'Christopher Mitchum', 'Michael McCandles', 'Bobby Vinton', 'Jeff McCandles']",75%,85%,8, Western,https://www.rottentomatoes.com/m/big_jake
3894,Two Mules For Sister Sara,"When gunslinger Hogan (Clint Eastwood) discovers a group of men attempting to rape a young nun, Sara (Shirley MacLaine), he shoots them dead and rescues the woman. The two escape to a nearby camp of Mexican revolutionaries, who have hired Hogan to help fight the invading French army. En route, Sara turns out to be surprisingly crude for a nun, drinking, smoking and using curse words. When she also proves to be handy with a gun, Hogan begins wondering if she is telling him the whole truth.", English, 1h 54m, Don Siegel, Albert Maltz,"['Shirley MacLaine', 'Sara', 'Clint Eastwood', 'Hogan', 'Manolo Fabregas', 'Colonel Beltran', 'Alberto Morin', 'General LeClaire', 'Armando Silvestre', '1st American', 'John Kelly', '2nd American']",71%,73%,17," Western, Action, Adventure",https://www.rottentomatoes.com/m/two_mules_for_sister_sara
3895,1023739-Winchester 73,"Lin McAdam (James Stewart) pursues notorious outlaw Henry ""Dutch"" Brown (Millard Mitchell) into Dodge City, Kansas. There, in an effort to flush out the criminal, McAdam enters a sharp-shooting contest and wins the top prize: the eponymous Winchester rifle. Brown, desiring the rifle for himself, sneaks into McAdam's room and makes off with it. After finding the rifle missing, McAdam chases Brown across the state and toward an epic confrontation.", English, 1h 32m, Anthony Mann," Borden Chase, Robert L. Richards","['James Stewart', 'Lin McAdam', 'Shelley Winters', 'Lola Manners', 'Dan Duryea', 'Waco Johnnie Dean', 'Stephen McNally', 'Dutch Henry Brown', 'Millard Mitchell', 'High Spade Frankie Wilson', 'Charles Drake', 'Steve Miller']",100%,86%,28, Western,https://www.rottentomatoes.com/m/1023739-winchester_73
3896,Barbarosa,"In pre-Civil War Texas, naïve Karl Westover (Gary Busey) accidentally kills his brother-in-law, and heads to Mexico to escape the consequences. Along the way, he encounters Barbarosa (Willie Nelson), who is also on the run. Barbarosa teaches Karl survival skills for the desert -- and how to rob. In their journey from Texas to Mexico and back again, the two men are captured by outlaw Angel Morales, and pursued by Don Braulito (Gilbert Roland), who wants Barbarosa dead.", English, 1h 30m, Fred Schepisi, William D. Wittliff,"['Willie Nelson', 'Barbarosa', 'Gary Busey', 'Karl Westover', 'Gilbert Roland', 'Don Braulio', 'Isela Vega', 'Josephina', 'Danny De La Paz', 'Eduardo', 'Alma Martinez', 'Juanita']",100%,71%,5, Western,https://www.rottentomatoes.com/m/barbarosa
3897,Cat Ballou,"When hired gun Tim Strawn (Lee Marvin) kills her rancher father, Cat Ballou (Jane Fonda) becomes an outlaw set on vengeance. Enlisting the help of washed-up gunslinger Kid Shelleen (also Marvin) as well as the handsome bandit Clay Boone (Michael Callan), Cat strikes back at the land-development company that employed Strawn, and eventually targets the assassin himself. Adding to the lively comedic mood of the film are narrative song performances by Nat King Cole and Stubby Kaye.", English, 1h 36m, Elliot Silverstein," Roy Chanslor, Walter Newman, Frank Pierson","['Jane Fonda', 'Catherine ""Cat"" Ballou', 'Lee Marvin', 'Kid Shelleen, Strawn', 'Michael Callan', 'Clay Boone', 'Dwayne Hickman', 'Jed', 'Tom Nardini', 'Jackson Two-Bears', 'John Marley', 'Frankie Ballou']",90%,74%,30," Western, Comedy",https://www.rottentomatoes.com/m/cat_ballou
